18 Mar 2025|B1|public/02_Evidence_Core/0_1_2_Judicial_Service_&_Conduct_Commission/JSC_Formal_Complaint_Matthee_9July2026.pdf
public/02_Evidence_Core/0_1_2_Judicial_Service_&_Conduct_Commission/JSC_Formal_Complaint_Matthee_9July2026.pdf
23 Sep 2025|C1|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
23 Oct 2025|VICT1|public/02_Evidence_Core/0_1_Regulators_R_S_A /CMS/C_M_S_FollowUp_EthicHawks_2April2026.pdf
public/02_Evidence_Core/0_1_Regulators_R_S_A /CMS/C_M_S_FollowUp_EthicHawks_2April2026.pdf
31 Oct 2025|E1 (audio recording)|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/RPM_1_Leaving_Work_21_May_2025.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/RPM_1_Leaving_Work_21_May_2025.pdf
9 Dec 2025|GRC1|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_1_FINAL_NOTICE_Criminal_Referral_SAPS_NPA_&_Immediate_Regulatory_Inquiry_Wilbur_William_Matthee.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_1_FINAL_NOTICE_Criminal_Referral_SAPS_NPA_&_Immediate_Regulatory_Inquiry_Wilbur_William_Matthee.pdf
10 Dec 2025|O1|public/02_Evidence_Core/0_2_1_Labour_Court_CT /STATEMENT_OF_CLAIM_LRA_PDA/matthee_statement_of_claim_2026.04.13.11.58.pdf
public/02_Evidence_Core/0_2_1_Labour_Court_CT /STATEMENT_OF_CLAIM_LRA_PDA/matthee_statement_of_claim_2026.04.13.11.58.pdf
11 Dec 2025|GRC2|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/Attachement E (1)- Fw_ July 2025 Salary dispute, No staggering,  over 40%.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/Attachement E (1)- Fw_ July 2025 Salary dispute, No staggering,  over 40%.pdf
12 Dec 2025|H2|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
16 Dec 2025|GRC3|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
18 Dec 2025|18 Dec 2025|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/BRD_GRC_4_MAXIMUM_SEVERITY_GRC_ESCALATION_RETRACTION_17_Dec_2025.pdf
23 Dec 2025|U1|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/Mental Health Disclosure.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/Mental Health Disclosure.pdf
4 Feb 2026|U5|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/CCMA_2nd_CASE.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/CCMA_2nd_CASE.pdf
10 Feb 2026|J2|public/02_Evidence_Core/0_2_Office_Chief_Justice /OCJ_Fanal_Closure/EH_Notice_Administrative_Default_01Jul2026-1.pdf
public/02_Evidence_Core/0_2_Office_Chief_Justice /OCJ_Fanal_Closure/EH_Notice_Administrative_Default_01Jul2026-1.pdf
2 Apr 2026|U8|public/02_Evidence_Core/0_1_Regulators_R_S_A /CMS/C_M_S_FollowUp_EthicHawks_2April2026.pdf
public/02_Evidence_Core/0_1_Regulators_R_S_A /CMS/C_M_S_FollowUp_EthicHawks_2April2026.pdf
16 Apr 2026|M1|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/AfrocentricInvestmentCorporationLimitedvWilburWilliamMatthee2026086906AFR1282v020FCompleteBundle.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/AfrocentricInvestmentCorporationLimitedvWilburWilliamMatthee2026086906AFR1282v020FCompleteBundle.pdf
7 May 2026|U11|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/CCMA_2nd_CASE.pdf
public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/CCMA_2nd_CASE.pdf
28 May 2026|28 May 2026|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/FG_2_Evidence_of_Malicious_Intent_Constructive_Dismissal_and_Hostile_Work_Environment_By_Mary_Ann_Jones.pdf
4 Jun 2026|4 Jun 2026|public/02_Evidence_Core/0_8_Denyes_Reitz_Inc/AFR1282 Letter to Matthee 04.06.2026.pdf
11 Jan 2024|11 Jan 2024|public/02_Evidence_Core/0_1_Regulators_R_S_A /BBEEE/Final_EthicHawks_BBBEE_form_8_reply..pdf
09 Apr 2024|09 Apr 2024|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/FG_2_Evidence_of_Malicious_Intent_Constructive_Dismissal_and_Hostile_Work_Environment_By_Mary_Ann_Jones.pdf
23 Jul 2025|23 Jul 2025|
23 Sep 2025|23 Sep 2025|public/02_Evidence_Core/0_2_High_Court_WC /DEL Writ of Mandamus/V_1_Mandamus_DEL_WC_HighCourt.pdf
12 Dec 2025|12 Dec 2025|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/FG_2_Evidence_of_Malicious_Intent_Constructive_Dismissal_and_Hostile_Work_Environment_By_Mary_Ann_Jones.pdf
19 Mar 2026|19 Mar 2026|public/02_Evidence_Core/0_8_Afrocentric_Lies /1_Proof_No_Lie/CCC_1_FORMAL_COMPLAINT_Case_WECT24486_25_WECT23564_25_Commissioner_Nthabiseng_Misconduct_&_Bias.pdf
